app_link,app_name,certificate,date,developer,download_link,dpi,md5_hash,name,os,package,sha1_certificate,sha1_hash,sha256_certificate,sha256_hash,size,version
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-0-52-release/facebook-331-0-0-0-52-android-apk-download/,Facebook 331.0.0.0.52 alpha (arm64-v8a) (213-240dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
July 31, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-0-52-release/facebook-331-0-0-0-52-android-apk-download/download/?key=ef1f344702f5c083baa474c5c46a7f3867190233,"213, 240dpi ",ef2526d51434afd4358110e475f8ae6f,"com.facebook.katana_331.0.0.0.52-286205452_minAPI29(arm64-v8a)(240,213dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,226fb52bee1c2316ab1ac6137b305c06fbc645c9,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,4374ccd31a7722012eb126b50818fb2ad4c0f7e1f7cd2f5da3df6c39a60c0a01,"57.43 MB (60,216,969 bytes)Supports installation on external storage.",331.0.0.0.52 (286205452)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-330-0-0-19-120-release/facebook-330-0-0-19-120-android-apk-download/,Facebook 330.0.0.19.120 beta (arm-v7a) (560-640dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
July 31, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-330-0-0-19-120-release/facebook-330-0-0-19-120-android-apk-download/download/?key=6cfee4f419336ddb30e39caeb5afda7ec74ed691,"560, 640dpi ",7eabee394208bfa9427a55445d31cece,"com.facebook.katana_330.0.0.19.120-286014412_minAPI29(armeabi-v7a)(560,640dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,46cae4213961b4f75580b4c79d7a7c5c70a35c9d,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,40462525139b9027f9db81efa6a112976f13c8002c7489d464d2b46d32cd8f0d,"65.92 MB (69,127,016 bytes)Supports installation on external storage.",330.0.0.19.120 (286014412)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-0-68-release/facebook-331-0-0-0-68-2-android-apk-download/,Facebook 331.0.0.0.68 alpha (arm64-v8a) (213-240dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
August 1, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-0-68-release/facebook-331-0-0-0-68-2-android-apk-download/download/?key=31a0ebed56a93b8a0934ccd1d22864d24a9b06d7,"213, 240dpi ",32bfaa7e70b048dbb4ece2a1d73e1fe0,"com.facebook.katana_331.0.0.0.68-286207100_minAPI29(arm64-v8a)(240,213dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,635f615c7b1ed1a5c8ddb11538d65babbe3dd415,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,a00ccd7ef6bd7f4561a505af3c7943844c749e7fd7286dc9d8770019212bc488,"57.45 MB (60,237,394 bytes)Supports installation on external storage.",331.0.0.0.68 (286207100)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-0-85-release/facebook-331-0-0-0-85-android-apk-download/,Facebook 331.0.0.0.85 alpha (arm64-v8a) (213-240dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
August 2, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-0-85-release/facebook-331-0-0-0-85-android-apk-download/download/?key=376487d5d023d470863da35505e034ff709fa50a,"213, 240dpi ",d880f6e9635267304e84cc7c6329f410,"com.facebook.katana_331.0.0.0.85-286208851_minAPI29(arm64-v8a)(240,213dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,899c8a98aed1f2f90dd5ef91f8f140791c183c3d,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,2cbac06fbc919cc644492659483a4b7f899384d1d8954d7bbe3042436e85c98a,"57.45 MB (60,237,394 bytes)Supports installation on external storage.",331.0.0.0.85 (286208851)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-332-0-0-0-2-release/facebook-332-0-0-0-2-android-apk-download/,Facebook 332.0.0.0.2 alpha (arm64-v8a) (213-240dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
August 4, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-332-0-0-0-2-release/facebook-332-0-0-0-2-android-apk-download/download/?key=9607670c880d945781cb9c5ce8179fde47bef976,"213, 240dpi ",a17f00cbda4a9d889c7532ee313cb106,"com.facebook.katana_332.0.0.0.2-286400251_minAPI29(arm64-v8a)(240,213dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,c52f6b1c75d43cf7ca83d3e1f2578e8ddb3db008,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,7e16ef288fac1f06b21104fccae1af9927f9fbd0a3a2042276185079193ca788,"57.36 MB (60,142,349 bytes)Supports installation on external storage.",332.0.0.0.2 (286400251)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-329-0-0-29-120-release/facebook-329-0-0-29-120-20-android-apk-download/,Facebook 329.0.0.29.120 (arm-v7a) (360-480dpi) (Android 5.0+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
July 29, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-329-0-0-29-120-release/facebook-329-0-0-29-120-20-android-apk-download/download/?key=ca6736a4ed849b64337a7bbd0981ecc278cd39e3,"360, 400, 420, 480dpi ",fc8a91faa9583cedcc662d14325d49a6,"com.facebook.katana_329.0.0.29.120-285812451_minAPI21(armeabi-v7a)(420,400,360,480dpi)_apkmirror.com.apk","Min: Android 5.0 (Lollipop, API 21)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,29dfeddb2b2cced493ad7fd49c0752628204e3ad,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,ab72da1b88d6d2076364e3c9ffcfd6e16a11f55d249cb824d0e87598fd8ac1ee,"44.87 MB (47,049,802 bytes)Supports installation on external storage.",329.0.0.29.120 (285812451)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-3-117-release/facebook-331-0-0-3-117-3-android-apk-download/,Facebook 331.0.0.3.117 beta (arm64-v8a) (360-480dpi) (Android 9.0+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
August 6, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-3-117-release/facebook-331-0-0-3-117-3-android-apk-download/download/?key=37f4e0eee0cac0116214c5d5ff274d18945dbfc4,"360, 400, 420, 480dpi ",5b787b57a3eb17051ea7c1bcc6645164,"com.facebook.katana_331.0.0.3.117-286212586_minAPI28(arm64-v8a)(420,400,360,480dpi)_apkmirror.com.apk","Min: Android 9.0 (Pie, API 28)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,7b0d9e334b8f8d91d6c46480cf3064e4556cb358,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,e539e25b8cdc727f70116d7b47224180b3b2494f74814b7d36e38cf5a6242502,"43.22 MB (45,323,341 bytes)Supports installation on external storage.",331.0.0.3.117 (286212586)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-332-0-0-0-17-release/facebook-332-0-0-0-17-android-apk-download/,Facebook 332.0.0.0.17 alpha (arm64-v8a) (213-240dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
August 5, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-332-0-0-0-17-release/facebook-332-0-0-0-17-android-apk-download/download/?key=9aced9d5bc9897fe61a3019e3e42b405e8af9611,"213, 240dpi ",a01ec8d0f270e1f0327156c1505fdb51,"com.facebook.katana_332.0.0.0.17-286401796_minAPI29(arm64-v8a)(240,213dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,812296dd26dd07828d48cfd99be1c0fd042cfb74,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,8e82883321d710572d907a14f434e21123ee6c2e5b40bee441e710fb20850ac1,"57.38 MB (60,167,200 bytes)Supports installation on external storage.",332.0.0.0.17 (286401796)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-332-0-0-0-31-release/facebook-332-0-0-0-31-android-apk-download/,Facebook 332.0.0.0.31 alpha (arm64-v8a) (213-240dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
August 7, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-332-0-0-0-31-release/facebook-332-0-0-0-31-android-apk-download/download/?key=efb337c7df4edcfbb2a290a4a2e81ad928406ec1,"213, 240dpi ",13bcdcd84faab7284f01597dc5ff7cc9,"com.facebook.katana_332.0.0.0.31-286403238_minAPI29(arm64-v8a)(240,213dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,64a6e2f37f609507e0f50ae517674cd60fc4ac37,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,4dd9025567f2d55aed93e68a083359573d3a5850a31064633aa8abcfabe0fc0a,"57.4 MB (60,191,812 bytes)Supports installation on external storage.",332.0.0.0.31 (286403238)
https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-13-117-release/facebook-331-0-0-13-117-android-apk-download/,Facebook 331.0.0.13.117 beta (arm64-v8a) (213-240dpi) (Android 10+),"CN=Facebook Corporation, OU=Facebook, O=Facebook Mobile, L=Palo Alto, ST=CA, C=US","
August 7, 2021 ","Meta Platforms, Inc.",https://www.apkmirror.com/apk/facebook-2/facebook/facebook-331-0-0-13-117-release/facebook-331-0-0-13-117-android-apk-download/download/?key=82509f253079f3913e1e5874eaa8f0acab438537,"213, 240dpi ",e1baa0354cdddee048ac79a59689eacc,"com.facebook.katana_331.0.0.13.117-286213897_minAPI29(arm64-v8a)(240,213dpi)_apkmirror.com.apk","Min: Android 10 (Q, API 29)Target: Android 11 (API 30)",com.facebook.katana,8a3c4b262d721acd49a4bf97d5213199c86fa2b9,01fd79ba1b9510954d521be54f535d7fd9a02abe,e3f9e1e0cf99d0e56a055ba65e241b3399f7cea524326b0cdd6ec1327ed0fdc1,293763a0a323b6cda914874473f5dd86d3457be8c6f438733016a4b0b4187db8,"42.75 MB (44,822,989 bytes)Supports installation on external storage.",331.0.0.13.117 (286213897)
