app_link,app_name,categories,certificate,developer,download_link,dpi,md5_hash,name,os,package,sha1_certificate,sha1_hash,sha256_certificate,sha256_hash,size,version,,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/com2us/action-puzzle-town/action-puzzle-town-1-2-1-release/action-puzzle-town-1-2-1-android-apk-download/,Action Puzzle Town 1.2.1 (arm64-v8a + arm-v7a) (Android 4.1+),Puzzle Games,"CN=Com2us, O=ECO, L=Seoul",Com2uS,https://www.apkmirror.com/apk/com2us/action-puzzle-town/action-puzzle-town-1-2-1-release/action-puzzle-town-1-2-1-android-apk-download/download/?key=173eab3f27c4233a46fc23ed8287023fb1bda696,nodpi,f26feac568749d40f2c611398369dff3,"com.com2us.actionpuzzletown.normal.freefull.google.global.android.common_1.2.1-33_minAPI16(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk","Min: Android 4.1 (Jelly Bean, API 16)Target: Android 8.1 (Oreo, API 27)",com.com2us.actionpuzzletown.normal.freefull.google.global.android.common,eaddcde759b1a71993e90720e9ed3956cb1e1a1d,16370b075ac348328701a0c49d2e93094d145296,c27733120a9e2e3691056c35faeb8473d1acb068a64a95eb3416121715040eb5,ec862b21ae1676aad01b1cade71f5d5c075d73f0038e1662cad7a89cc2b992ab,94.89 MB,1.2.1  (33),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/orube-game-studio/adventure-llama/adventure-llama-1-4-release/adventure-llama-1-4-2-android-apk-download/,Adventure Llama 1.4 (arm-v7a),"Adventure Games,Action Game,Casual Games","C=55, ST=RJ, L=Niteroi, O=Orubi, OU=Orubi, CN=Pedro Oliveira",Orube Game Studio,https://www.apkmirror.com/apk/orube-game-studio/adventure-llama/adventure-llama-1-4-release/adventure-llama-1-4-2-android-apk-download/download/?key=81f33f7796b468e2615a9c303723bac309093364&forcebaseapk=true,nodpi,7dede319a88995f474da924778ea36a8,com.orube.adventurellama_1.4-104_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com.apk,"Min: Android 4.4 (Kitkat, API 19)Target: Android 9.0 (Pie, API 28)",com.orube.adventurellama,07d577eee601e97c6da25bc769d3bf61293de3ac,75254f6b1a3a7c079e18f9ecb7f929d30df154e9,5628bbc6de657c11d2900026ca78bcd8459aca8ea4acd9fc326689cbd580fc6b,1d3d45204f75e6030d698d62f8925f3f5c810a394d0688aaae25f22235a56858,50.91 MB,1.4 (104),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/tahlreth/aethersx2/aethersx2-v1-0-2233-release/aethersx2-v1-0-2233-android-apk-download/,AetherSX2 v1.0-2233,Arcade Games,"CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US",Tahlreth,https://www.apkmirror.com/apk/tahlreth/aethersx2/aethersx2-v1-0-2233-release/aethersx2-v1-0-2233-android-apk-download/download/?key=7c464e75577cd530e71f617ca418824ecc5d3080&forcebaseapk=true,nodpi,52cf8e5abb35d3503fa1a8aed42cd381,xyz.aethersx2.android_v1.0-2233-12495_minAPI26(arm64-v8a)(nodpi)_apkmirror.com.apk,"Min: Android 8.0 (Oreo, API 26)Target: Android 11 (API 30)",xyz.aethersx2.android,9c67320868d79641ef6c091809839c6679755471,a5a2dfee29c027f24f08a48d9f6978b21a17c92f,402de79aa2c75256203a122ca9875960ceb64cc3d7f3a499b742091d2b01d8d7,6851f22f2ff27990a4c615838f2caac8c1f37b1233bbdfc4dbbfc906a9591205,16.91 MB,v1.0-2233 (12495),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/lilith-games/afk-arena-2/afk-arena-2-1-92-03-release/afk-arena-1-92-03-2-android-apk-download/,AFK Arena 1.92.03 (arm-v7a) (nodpi),"Strategy Games,Role Playing Games,Casual Games","CN=lilithGames, OU=lilith, O=lilith, L=shanghai, ST=shanghai, C=021",LILITH GAMES SG PTE. LTD.,https://www.apkmirror.com/apk/lilith-games/afk-arena-2/afk-arena-2-1-92-03-release/afk-arena-1-92-03-2-android-apk-download/download/?key=087debcc352db4d27ffd7be58489227b445b7e87&forcebaseapk=true,nodpi,ef83c777a0e158aa187e9c8d6a1a6d4f,com.lilithgames.hgame.gp.id_1.92.03-500021_minAPI16(armeabi-v7a)(nodpi)_apkmirror.com.apk,"Min: Android 4.1 (Jelly Bean, API 16)Target: Android 11 (API 30)",com.lilithgames.hgame.gp.id,acf60a05aa19fa5de96b1988a87a29e90e4c6f15,306d6b6b23d1950746fe422340dcfa738a67648f,4fc91b7786e456b018d03fb85225874a3ad8a83109417c2a166c06d66d6f7ee5,ffa5bc80486ceab18d5954d061acc0aa70e42b892f1030c0f96206202e96207f,85.13 MB,1.92.03 (500021),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/sega/after-burner-climax/after-burner-climax-0-1-7-release/after-burner-climax-0-1-7-android-apk-download/,After Burner Climax 0.1.7 (arm64-v8a + arm-v7a),"Arcade Games,Action Game","CN=SEGA of America, OU=SEGA of America, O=SEGA of America, L=Irvine, ST=CA, C=US",SEGA,https://www.apkmirror.com/apk/sega/after-burner-climax/after-burner-climax-0-1-7-release/after-burner-climax-0-1-7-android-apk-download/download/?key=47e9045dab47fba416a7458261d42027985a60f1,nodpi,f8d08b208a4c36babcfa8bf04f7b8dca,"com.sega.afterburnerclimax_0.1.7-20071604_minAPI19(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk","Min: Android 4.4 (Kitkat, API 19)Target: Android 9.0 (Pie, API 28)",com.sega.afterburnerclimax,fd235271d65808763d395f3bc7fab1fc623c2a3a,e190de98dcc1b50f759fafd891a5417986487957,e8389445ebcbbdbe46930f9be8bd0c4da554d65bc46ff9af6762c4d37dd0502f,0b1c0434155791cb6f341b4a416ed3593ca942ea6068135f43fdc1e605a6e99d,35.22 MB,0.1.7 (20071604),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/miniclip-com/agar-io-2/agar-io-2-2-20-3-release/agar-io-2-20-3-android-apk-download/,Agar.io 2.20.3 (arm64-v8a + arm-v7a) (Android 5.0+),Action Game,"CN=edward barber, OU=miniclip portugal, O=miniclip, L=oeiras, ST=lisbon, C=PT",Miniclip.com,https://www.apkmirror.com/apk/miniclip-com/agar-io-2/agar-io-2-2-20-3-release/agar-io-2-20-3-android-apk-download/download/?key=a5fb9b9554d328fd1b3a9639be6641529b4d61da&forcebaseapk=true,nodpi,320a3e5284c771bdf9cfa18dd2813b53,"com.miniclip.agar.io_2.20.3-625_minAPI21(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk","Min: Android 5.0 (Lollipop, API 21)Target: Android 11 (API 30)",com.miniclip.agar.io,87615343657c0a98155d71ec5a3158218b9a9f62,c522beda2a72ca05c129aa11cdb0074c9cfc6232,5bee86eda78132ef1f5610e153ca3f20ba71fb8ea2c3de147a5ee65bc0d22405,5cd57ed3ff65219022292f6785a421ef70f89980f53c3c33fb1c0310cd14ce48,56.24 MB,2.20.3 (625),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/deemedya-inc/age-of-wind-3/age-of-wind-3-2-1-3-release/age-of-wind-3-2-1-3-android-apk-download/,Age of wind 3 2.1.3,Adventure Games,"O=Galapagos, OU=Galapagos, CN=Galapagos",Deemedya INC,https://www.apkmirror.com/apk/deemedya-inc/age-of-wind-3/age-of-wind-3-2-1-3-release/age-of-wind-3-2-1-3-android-apk-download/download/?key=c1c7e578e58104238afc74302e640f941de5b242,nodpi,251bddd21751d9778e75234a7e8267fd,"com.x3m.aow3_2.1.3-55_minAPI10(armeabi-v7a,x86)(nodpi)_apkmirror.com.apk","Min: Android 2.3.4 (Gingerbread MR1, API 10)Target: Android 5.1 (Lollipop MR1, API 22)",com.x3m.aow3,161509445e97ca2acb62b043ea526d92ee33fbdc,76a5fa118ab1b2e6677a9204e4ab1fbf5208bb12,4aeee06b9b78765520d0e3a6b774d4c9f1f6dacdd0d2a41a75d7897c60a2444f,6882e6e8103e03d344401f78fba11b63f94e6a2e0800d14eb79f5a51d219ddd2,86.59 MB,2.1.3 (55),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/yak-co/agent-a-trial-edition/agent-a-trial-edition-5-2-5-release/agent-a-a-puzzle-in-disguise-5-2-5-android-apk-download/,Agent A: A puzzle in disguise 5.2.5 (arm64-v8a + arm-v7a) (Android 5.0+),"Puzzle Games,Adventure Games","C=AU, ST=VIC, L=Melbourne, O=Yak & Co, OU=Development, CN=Jason Rawlings",Yak & Co,https://www.apkmirror.com/apk/yak-co/agent-a-trial-edition/agent-a-trial-edition-5-2-5-release/agent-a-a-puzzle-in-disguise-5-2-5-android-apk-download/download/?key=c7446e624a1365f1b71f209f84cd7a9183875113,nodpi,2c7033a1977db8b27c565250b8e9e7d4,"co.yakand.agentaapuzzleindisguise.trial_5.2.5-2249_minAPI21(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk","Min: Android 5.0 (Lollipop, API 21)Target: Android 9.0 (Pie, API 28)",co.yakand.agentaapuzzleindisguise.trial,33bda6b5b715437bb773aed0d97a142e4de677c2,a91ba3dc6516f19017556167e8db35c420f37e5c,0179348ec527e1a620e49bb1256053cf7cf368b701b4dec1bd377640c826b7fd,5ba20b6dad8bd4c1493f7b48bde918d15fa55f4760e30b768901ecccce52848b,353.74 MB,5.2.5 (2249),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/catappult-publishing/ailment-space-pixel-dungeon/ailment-space-pixel-dungeon-3-0-9-release/ailment-space-pixel-dungeon-3-0-9-2-android-apk-download/,Ailment: space pixel dungeon 3.0.9 (281),Action Game,"CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US",Catappult Publishing,https://www.apkmirror.com/apk/catappult-publishing/ailment-space-pixel-dungeon/ailment-space-pixel-dungeon-3-0-9-release/ailment-space-pixel-dungeon-3-0-9-2-android-apk-download/download/?key=039ff45eb716cfb4f20a169995760771fc6412b9&forcebaseapk=true,nodpi,1724f63c1875d20b9577f7451d6a2280,"com.BeardyBird.Ailment_3.0.9-281_minAPI22(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk","Min: Android 5.1 (Lollipop MR1, API 22)Target: Android 11 (API 30)",com.BeardyBird.Ailment,836b4e847884214b36dc9257972a542332ee6ce1,a202b78ed18484916a9a7473a07e46e8f5f44d4f,a045b2c9a1134d0c7a99992eba1c19f22004d67b7bd78b98614b2fb14f07c6fd,68789639e95aed50f5a592c2919bad7a9c3006e8cd9c5eab4ae761d08e09dc74,76.05 MB,3.0.9 (281),,,,,,,,,,,,,,,,,
https://www.apkmirror.com/apk/colya/airattack-2-ww2-airplanes-shooter/airattack-2-ww2-airplanes-shooter-1-5-3-release/airattack-2-ww2-airplanes-shooter-1-5-3-2-android-apk-download/,AirAttack 2 - WW2 Airplanes Shooter 1.5.3 (arm-v7a) (Android 4.3+),"Arcade Games,Action Game,Casual Games","CN=Andrej Svoboda, OU=Art In Games, O=Art In Games, L=Partizanske, ST=Slovakia, C=SK",Colya,https://www.apkmirror.com/apk/colya/airattack-2-ww2-airplanes-shooter/airattack-2-ww2-airplanes-shooter-1-5-3-release/airattack-2-ww2-airplanes-shooter-1-5-3-2-android-apk-download/download/?key=da10155eba0b7f5980a9f111730302bdc36d9472,nodpi,720ce3ed935f53a39e0a95103d5ef581,com.ArtInGames.AirAttack2f_1.5.3-15333_minAPI18(armeabi-v7a)(nodpi)_apkmirror.com.apk,"Min: Android 4.3 (Jelly Bean MR2, API 18)Target: Android 11 (API 30)",com.ArtInGames.AirAttack2f,16668801e17e81bce3ca4d0cbdbd8f5b05e2f197,40579aedc39f856782916f853f71219c42b2842d,fddb539b398c293f5e367768dd5454b9be1574361abdb7668b31d848b51bec72,56df5498f613964caa0a08b52265f799a16a615bee5f3de667d183c24864ba81,17.71 MB,1.5.3 (15333),,,,,,,,,,,,,,,,,
